task,sub,t1_ec,t1_fc
GAMBLING,114318,0.7665850411565072,0.6269701685635535
MOTOR_HF,114419,0.7317769486059288,0.5054320964506027
WM,114419,0.692493578084863,0.38693641835261466
RELATIONAL,114419,0.7528717679485496,0.5595846849042806
LANGUAGE,114419,0.8139819623872648,0.7708925055781598
EMOTION,114419,0.7960904130650815,0.6654214088838054
SOCIAL,114419,0.7331588322427015,0.48105938162113504
GAMBLING,114419,0.6664792904955655,0.48612903830648935
MOTOR_HF,114621,0.7920235126469539,0.595603660022875
WM,114621,0.840438377739861,0.7118277614235089
RELATIONAL,114621,0.8052695329345807,0.7153113456959105
LANGUAGE,114621,0.7814126338289614,0.6882266139163369
EMOTION,114621,0.7402193763711024,0.5342090263064143
SOCIAL,114621,0.7251377196107476,0.5413944462152888
GAMBLING,114621,0.7275384846155288,0.5321307633172707
MOTOR_HF,114823,0.7316275101719386,0.5883280520503252
WM,114823,0.7810025687660547,0.6943909024431402
RELATIONAL,114823,0.827544672154201,0.7249839686498041
LANGUAGE,114823,0.7873076706729416,0.6193525584534902
EMOTION,114823,0.7403251270320439,0.5132972081075506
SOCIAL,114823,0.7601948137175857,0.5095087469296683
GAMBLING,114823,0.6544034650216562,0.5184283651772823
MOTOR_HF,114924,0.6878718616991355,0.5700654379089869
WM,114924,0.6626478915493221,0.43900924380777373
RELATIONAL,114924,0.6611776948605929,0.3208218176363602
LANGUAGE,114924,0.7347949674685466,0.5301899386871167
EMOTION,114924,0.7173809836311477,0.43026850167813546
SOCIAL,114924,0.7668542928393302,0.6106905668160426
GAMBLING,114924,0.6554984718654491,0.471390883693023
MOTOR_HF,115017,0.7118157613485084,0.5836875855474096
WM,115017,0.8536624603903775,0.6694969343558397
RELATIONAL,115017,0.7570052312826955,0.48206588791179933
LANGUAGE,115017,0.8462497890611816,0.7481990512440702
EMOTION,115017,0.7773048581553634,0.6159344120900756
SOCIAL,115017,0.778438490240564,0.555925787036169
GAMBLING,115017,0.700791817448859,0.4201642510265689
MOTOR_HF,115219,0.7831119569497308,0.6537685860536627
WM,115219,0.8104498153113456,0.7336228976431101
RELATIONAL,115219,0.7314971968574804,0.5570552940955881
LANGUAGE,115219,0.8098751242195262,0.7030545815911349
EMOTION,115219,0.7861007256295351,0.6939671497946862
SOCIAL,115219,0.7028076425477658,0.6060630378939869
GAMBLING,115219,0.7139827123919524,0.5082873642960268
MOTOR_HF,115320,0.7138531490821816,0.4685380533628335
WM,115320,0.8096023100144375,0.6823750773442332
RELATIONAL,115320,0.7737382108638179,0.5663576022350139
LANGUAGE,115320,0.7780329252057825,0.5757883486771791
EMOTION,115320,0.7683123019518872,0.6263664147900924
SOCIAL,115320,0.7242952768454802,0.5133320833255207
GAMBLING,115320,0.7351954699716874,0.48816792604953774
MOTOR_HF,115724,0.7266195413721336,0.5178615491346821
WM,115724,0.8685659910374439,0.8125847036543977
RELATIONAL,115724,0.768267864174151,0.4506558790992443
LANGUAGE,115724,0.8505461909136931,0.7751189694935593
EMOTION,115724,0.7588898055612847,0.6413265707910674
SOCIAL,115724,0.7591082444265276,0.508964243526522
GAMBLING,115724,0.7166939793373708,0.4985358033487709
MOTOR_HF,115825,0.755520972006075,0.4786848667804173
WM,115825,0.8465694785592409,0.670068250426565
RELATIONAL,115825,0.6873845461534134,0.5078358614741342
LANGUAGE,115825,0.8455584722404514,0.7528942680891755
EMOTION,115825,0.7983614272589202,0.565471471696698
SOCIAL,115825,0.8053668460427876,0.6083003018768868
GAMBLING,115825,0.7668850430315189,0.6584538653366582
MOTOR_HF,116524,0.7255556597228733,0.538373239832749
WM,116524,0.6730168938555866,0.536937543359646
RELATIONAL,116524,0.7163178519865748,0.6168203551272194
LANGUAGE,116524,0.8150649691560571,0.7547947799673747
EMOTION,116524,0.758943430896443,0.6813792586203663
SOCIAL,116524,0.7372823580147375,0.5996857480359252
