sub_id,roi,time,global_baseline_energy,global_evoked_energy,global_effect_size
id_100206,100,245,362.4213119600323,398.4216478753231,0.0002460181270574
id_100206,100,246,410.876646221124,444.3837665756889,0.000258858821143
id_100206,100,247,458.37494216133734,485.0882730155579,0.0002365849926068
id_100206,100,248,501.91075965955895,521.0333455907676,0.0002300284166329
id_100206,100,249,540.9260818434218,554.803022888583,0.0002371353705502
id_100206,100,250,578.1733870112535,591.6103478939841,0.0002378405533601
id_100206,100,251,619.1277440306621,635.4788810589449,0.000231017718012
id_100206,100,252,669.971246933467,689.4186779675334,0.0002241993604899
id_100206,100,253,734.8319271219232,752.6281688014545,0.0002198177026086
id_100206,100,254,813.0806312581874,816.1858808474567,0.0002150562755931
id_100206,100,255,897.3838604046726,874.8951868924305,0.0002097746824313
id_100206,100,256,973.2921509143398,920.58420954933,0.0002093346336001
id_100206,100,257,1021.5322465000728,929.7625672858196,0.0002073981260687
id_100206,100,258,1023.5050267658736,879.4864032090206,0.000217993508054
id_100206,100,259,968.2624664311288,777.336658742232,0.000221335934987
id_100206,100,260,857.8917150077148,644.2854254849683,0.0002288621256619
id_100206,100,261,708.8111586662676,501.1553609956301,0.0002409235378822
id_100206,100,262,547.6088450749533,370.8779462585055,0.0002638307686083
id_100206,100,263,402.7863283285917,271.4820969628348,0.0002910584490438
id_100206,100,264,296.3621342498949,215.9460157404444,0.0002753819330526
id_100206,100,265,238.01901907912796,202.2297892534337,0.0002672331278827
id_100206,100,266,223.10003476828297,212.52713029756305,0.0002715164539399
id_100206,100,267,236.00506357996107,235.26411492538975,0.0002693093695704
id_100206,100,268,257.919945995701,252.9188870667444,0.0002778362254151
id_100206,100,269,274.1071419385223,256.64596192902894,0.0002894645006317
id_100206,100,270,277.04095723460097,247.59316307419388,0.0002969096156679
id_100206,100,271,265.82411768340984,228.2077580254341,0.0002897325213901
id_100206,100,272,244.1685558398528,204.99688456168872,0.0002828041655593
id_100206,100,273,218.3354947085843,183.46524457471529,0.0002883336986524
id_100206,100,274,195.1425608243717,169.78746337191956,0.0002928289053534
id_100206,100,275,180.0268872740764,166.8116250781493,0.0002966189871956
id_100206,100,276,175.42862526854896,171.9602590698252,0.0003018991127476
id_100206,100,277,179.98316377745888,180.82447749396232,0.0002939681286329
id_100206,100,278,189.09550446827168,189.0714534172871,0.0003093454053278
id_100206,100,279,196.86520513582775,192.89943016090268,0.000302101996297
id_100206,100,280,198.67344873795764,190.11691158714112,0.0003166017088432
id_100206,100,281,193.43591173322284,181.99633547956677,0.000313681432059
id_100206,100,282,184.40477548632748,173.65260587170465,0.0002958654363895
id_100206,100,283,177.48016382721391,169.7949529543741,0.0002888056312352
id_100206,100,284,177.4971542911551,174.12344372880244,0.0002816368233654
id_100206,100,285,185.50856222024936,186.54947963993,0.0002733364498933
id_100206,100,286,199.5690488695971,203.65481444931905,0.0003002050765054
id_100206,100,287,217.87688342044527,222.8180454174397,0.0002765768622253
id_100206,100,288,241.1047472011124,251.5511614838927,0.0003113585749991
